Identification,Lake identification,Year,Species code,Species,Percent abundance
146,OCF19,2012,StaPho,Stauroneis phoenicenteron,0
147,OCF19,2012,TabFlo,Tabellaria flocculosa,0
393,OCF38,2012,AchMin,Achnanthes minutissima,14.55
394,OCF38,2012,AchLan,Achnanthes lanceolata,0
395,OCF38,2012,AchSp1,Achnanthes species 1,0
396,OCF38,2012,AmpLib,Amphora libyca,0.62
397,OCF38,2012,AmpPed,Amphora pediculus,0.62
398,OCF38,2012,BraMic,Brachysira microcephala,0
399,OCF38,2012,CalBac,Caloneis bacillum,1.24
400,OCF38,2012,CalLew,Caloneis lewisii,0
401,OCF38,2012,CocPla,Cocconeis placentula,0
402,OCF38,2012,CymCis,Cymbella cistula,0
403,OCF38,2012,CymGra,Cymbella gracilis,0
404,OCF38,2012,CymSil,Cymbella silesiaca,8.05
405,OCF38,2012,CymMic,Cymbella microcephala,0
406,OCF38,2012,DiaTen,Diatoma tenius,2.17
407,OCF38,2012,EpiAdn,Epithemia adnata,0
408,OCF38,2012,EpiTur,Epithemia turgida,0
409,OCF38,2012,EunBil,Eunotia bilunaris,0
410,OCF38,2012,EunInc,Eunotia incisa,0
411,OCF38,2012,FraBre,Fragilaria brevistriata,0
412,OCF38,2012,FraCap,Fragilaria capucina,26.93
413,OCF38,2012,FraPin,Fragilaria pinnata,4.64
414,OCF38,2012,FraTen,Fragilaria tenera,1.86
415,OCF38,2012,GomAcu,Gomphonema acuminatum,1.86
416,OCF38,2012,GomAng,Gomphonema angustatum,0
417,OCF38,2012,GomCap,Gomphonema capitatum,0
418,OCF38,2012,GomGra,Gomphonema gracile,0
419,OCF38,2012,GomPar,Gomphonema parvulum,6.19
420,OCF38,2012,GomSub,Gomphonema subtile,0
421,OCF38,2012,GomTru,Gomphonema truncatum,0
422,OCF38,2012,GomSp1,Gomphonema species 1,9.29
423,OCF38,2012,GyrAcu,Gyrosigma acuminatum,0
424,OCF38,2012,NavCrc,Navicula cryptocephala,8.36
425,OCF38,2012,NavCrn,Navicula cryptotenella,0.31
426,OCF38,2012,NavDif,Navicula difficillima,0
427,OCF38,2012,NavMin,Navicula minima,0
428,OCF38,2012,NavPup,Navicula pupula,0
429,OCF38,2012,NavPyg,Navicula pygmaea,1.24
430,OCF38,2012,NavRad,Navicula radiosa,0.62
431,OCF38,2012,NavSem,Navicula seminulum,0
432,OCF38,2012,NavSub,Navicula subtilissima,0
433,OCF38,2012,NavTri,Navicula trivialis,1.86
434,OCF38,2012,NitAng,Nitzschia angustata,0
435,OCF38,2012,NitPal,Nitzschia palea,8.67
436,OCF38,2012,NitPer,Nitzschia perminuta,0
437,OCF38,2012,RhoGib,Rhopalodia gibba,0
438,OCF38,2012,StaAnc,Stauroneis anceps,0.31
439,OCF38,2012,StaGra,Stauroneis gracilior,0
440,OCF38,2012,StaPho,Stauroneis phoenicenteron,0
441,OCF38,2012,TabFlo,Tabellaria flocculosa,0.62
442,OCF46,2012,AchMin,Achnanthes minutissima,8.78
443,OCF46,2012,AchLan,Achnanthes lanceolata,0
444,OCF46,2012,AchSp1,Achnanthes species 1,0
445,OCF46,2012,AmpLib,Amphora libyca,0
446,OCF46,2012,AmpPed,Amphora pediculus,0
447,OCF46,2012,BraMic,Brachysira microcephala,0
448,OCF46,2012,CalBac,Caloneis bacillum,0
449,OCF46,2012,CalLew,Caloneis lewisii,1.25
450,OCF46,2012,CocPla,Cocconeis placentula,37.3
451,OCF46,2012,CymCis,Cymbella cistula,0
452,OCF46,2012,CymGra,Cymbella gracilis,0
453,OCF46,2012,CymSil,Cymbella silesiaca,0.63
454,OCF46,2012,CymMic,Cymbella microcephala,0
455,OCF46,2012,DiaTen,Diatoma tenius,0
456,OCF46,2012,EpiAdn,Epithemia adnata,32.92
457,OCF46,2012,EpiTur,Epithemia turgida,4.7
458,OCF46,2012,EunBil,Eunotia bilunaris,0
459,OCF46,2012,EunInc,Eunotia incisa,0
460,OCF46,2012,FraBre,Fragilaria brevistriata,0
461,OCF46,2012,FraCap,Fragilaria capucina,0
462,OCF46,2012,FraPin,Fragilaria pinnata,1.25
463,OCF46,2012,FraTen,Fragilaria tenera,0
464,OCF46,2012,GomAcu,Gomphonema acuminatum,0
465,OCF46,2012,GomAng,Gomphonema angustatum,0
466,OCF46,2012,GomCap,Gomphonema capitatum,0
467,OCF46,2012,GomGra,Gomphonema gracile,0
468,OCF46,2012,GomPar,Gomphonema parvulum,0
469,OCF46,2012,GomSub,Gomphonema subtile,0
470,OCF46,2012,GomTru,Gomphonema truncatum,0
471,OCF46,2012,GomSp1,Gomphonema species 1,0
472,OCF46,2012,GyrAcu,Gyrosigma acuminatum,0
473,OCF46,2012,NavCrc,Navicula cryptocephala,0.94
474,OCF46,2012,NavCrn,Navicula cryptotenella,1.88
475,OCF46,2012,NavDif,Navicula difficillima,0
476,OCF46,2012,NavMin,Navicula minima,0
477,OCF46,2012,NavPup,Navicula pupula,0.31
478,OCF46,2012,NavPyg,Navicula pygmaea,0
479,OCF46,2012,NavRad,Navicula radiosa,3.45
480,OCF46,2012,NavSem,Navicula seminulum,0
481,OCF46,2012,NavSub,Navicula subtilissima,0
482,OCF46,2012,NavTri,Navicula trivialis,0.31
483,OCF46,2012,NitAng,Nitzschia angustata,1.25
484,OCF46,2012,NitPal,Nitzschia palea,5.02
485,OCF46,2012,NitPer,Nitzschia perminuta,0
486,OCF46,2012,RhoGib,Rhopalodia gibba,0
487,OCF46,2012,StaAnc,Stauroneis anceps,0
488,OCF46,2012,StaGra,Stauroneis gracilior,0
489,OCF46,2012,StaPho,Stauroneis phoenicenteron,0
490,OCF46,2012,TabFlo,Tabellaria flocculosa,0
491,OCF48,2012,AchMin,Achnanthes minutissima,29.43
492,OCF48,2012,AchLan,Achnanthes lanceolata,0
493,OCF48,2012,AchSp1,Achnanthes species 1,0
494,OCF48,2012,AmpLib,Amphora libyca,0
495,OCF48,2012,AmpPed,Amphora pediculus,0.6
496,OCF48,2012,BraMic,Brachysira microcephala,0
497,OCF48,2012,CalBac,Caloneis bacillum,0
498,OCF48,2012,CalLew,Caloneis lewisii,0
499,OCF48,2012,CocPla,Cocconeis placentula,17.72
500,OCF48,2012,CymCis,Cymbella cistula,0
501,OCF48,2012,CymGra,Cymbella gracilis,0
502,OCF48,2012,CymSil,Cymbella silesiaca,0
503,OCF48,2012,CymMic,Cymbella microcephala,0
504,OCF48,2012,DiaTen,Diatoma tenius,0
505,OCF48,2012,EpiAdn,Epithemia adnata,0.6
506,OCF48,2012,EpiTur,Epithemia turgida,0
507,OCF48,2012,EunBil,Eunotia bilunaris,0
508,OCF48,2012,EunInc,Eunotia incisa,0
509,OCF48,2012,FraBre,Fragilaria brevistriata,0
510,OCF48,2012,FraCap,Fragilaria capucina,0
511,OCF48,2012,FraPin,Fragilaria pinnata,1.2
512,OCF48,2012,FraTen,Fragilaria tenera,0.3
513,OCF48,2012,GomAcu,Gomphonema acuminatum,0
514,OCF48,2012,GomAng,Gomphonema angustatum,0
515,OCF48,2012,GomCap,Gomphonema capitatum,0
516,OCF48,2012,GomGra,Gomphonema gracile,0
517,OCF48,2012,GomPar,Gomphonema parvulum,1.5
518,OCF48,2012,GomSub,Gomphonema subtile,0
519,OCF48,2012,GomTru,Gomphonema truncatum,0
520,OCF48,2012,GomSp1,Gomphonema species 1,45.05
521,OCF48,2012,GyrAcu,Gyrosigma acuminatum,0
522,OCF48,2012,NavCrc,Navicula cryptocephala,0
523,OCF48,2012,NavCrn,Navicula cryptotenella,2.1
524,OCF48,2012,NavDif,Navicula difficillima,0
525,OCF48,2012,NavMin,Navicula minima,0
526,OCF48,2012,NavPup,Navicula pupula,0
527,OCF48,2012,NavPyg,Navicula pygmaea,0
528,OCF48,2012,NavRad,Navicula radiosa,0.6
529,OCF48,2012,NavSem,Navicula seminulum,0
530,OCF48,2012,NavSub,Navicula subtilissima,0.6
531,OCF48,2012,NavTri,Navicula trivialis,0
532,OCF48,2012,NitAng,Nitzschia angustata,0
533,OCF48,2012,NitPal,Nitzschia palea,0.3
534,OCF48,2012,NitPer,Nitzschia perminuta,0
535,OCF48,2012,RhoGib,Rhopalodia gibba,0
536,OCF48,2012,StaAnc,Stauroneis anceps,0
537,OCF48,2012,StaGra,Stauroneis gracilior,0
538,OCF48,2012,StaPho,Stauroneis phoenicenteron,0
539,OCF48,2012,TabFlo,Tabellaria flocculosa,0
540,OCF49,2012,AchMin,Achnanthes minutissima,79.94
541,OCF49,2012,AchLan,Achnanthes lanceolata,0
542,OCF49,2012,AchSp1,Achnanthes species 1,0
543,OCF49,2012,AmpLib,Amphora libyca,0
544,OCF49,2012,AmpPed,Amphora pediculus,0
545,OCF49,2012,BraMic,Brachysira microcephala,1.88
546,OCF49,2012,CalBac,Caloneis bacillum,0
547,OCF49,2012,CalLew,Caloneis lewisii,0
548,OCF49,2012,CocPla,Cocconeis placentula,0.94
549,OCF49,2012,CymCis,Cymbella cistula,0.63
550,OCF49,2012,CymGra,Cymbella gracilis,0
551,OCF49,2012,CymSil,Cymbella silesiaca,0
552,OCF49,2012,CymMic,Cymbella microcephala,0
553,OCF49,2012,DiaTen,Diatoma tenius,0
554,OCF49,2012,EpiAdn,Epithemia adnata,0
555,OCF49,2012,EpiTur,Epithemia turgida,0
556,OCF49,2012,EunBil,Eunotia bilunaris,0
557,OCF49,2012,EunInc,Eunotia incisa,0
558,OCF49,2012,FraBre,Fragilaria brevistriata,0
559,OCF49,2012,FraCap,Fragilaria capucina,0
560,OCF49,2012,FraPin,Fragilaria pinnata,0
561,OCF49,2012,FraTen,Fragilaria tenera,0
562,OCF49,2012,GomAcu,Gomphonema acuminatum,0
563,OCF49,2012,GomAng,Gomphonema angustatum,0
564,OCF49,2012,GomCap,Gomphonema capitatum,0
565,OCF49,2012,GomGra,Gomphonema gracile,0
566,OCF49,2012,GomPar,Gomphonema parvulum,1.57
567,OCF49,2012,GomSub,Gomphonema subtile,0
568,OCF49,2012,GomTru,Gomphonema truncatum,0
569,OCF49,2012,GomSp1,Gomphonema species 1,13.48
570,OCF49,2012,GyrAcu,Gyrosigma acuminatum,0
571,OCF49,2012,NavCrc,Navicula cryptocephala,0.63
572,OCF49,2012,NavCrn,Navicula cryptotenella,0.31
573,OCF49,2012,NavDif,Navicula difficillima,0
574,OCF49,2012,NavMin,Navicula minima,0
575,OCF49,2012,NavPup,Navicula pupula,0
576,OCF49,2012,NavPyg,Navicula pygmaea,0
577,OCF49,2012,NavRad,Navicula radiosa,0.63
578,OCF49,2012,NavSem,Navicula seminulum,0
579,OCF49,2012,NavSub,Navicula subtilissima,0
580,OCF49,2012,NavTri,Navicula trivialis,0
581,OCF49,2012,NitAng,Nitzschia angustata,0
582,OCF49,2012,NitPal,Nitzschia palea,0
583,OCF49,2012,NitPer,Nitzschia perminuta,0
584,OCF49,2012,RhoGib,Rhopalodia gibba,0
585,OCF49,2012,StaAnc,Stauroneis anceps,0
586,OCF49,2012,StaGra,Stauroneis gracilior,0
587,OCF49,2012,StaPho,Stauroneis phoenicenteron,0
588,OCF49,2012,TabFlo,Tabellaria flocculosa,0
822,OCF19,2013,AchMin,Achnanthes minutissima,66.76
823,OCF19,2013,AchLan,Achnanthes lanceolata,0
824,OCF19,2013,AchSp1,Achnanthes species 1,0
825,OCF19,2013,AmpLib,Amphora libyca,0
826,OCF19,2013,AmpPed,Amphora pediculus,0
827,OCF19,2013,AmpPel,Amphipleura pellucida,0
828,OCF19,2013,BraMic,Brachysira microcephala,0
829,OCF19,2013,BraPro,Brachysira procera,0
830,OCF19,2013,CalBac,Caloneis bacillum,0
831,OCF19,2013,CocPla,Cocconeis placentula,0.28
832,OCF19,2013,CymCis,Cymbella cistula,0
833,OCF19,2013,CymGra,Cymbella gracilis,0
834,OCF19,2013,CymSil,Cymbella silesiaca,0
835,OCF19,2013,CymMic,Cymbella microcephala,0
836,OCF19,2013,DiaTen,Diatoma tenius,0
837,OCF19,2013,EpiAdn,Epithemia adnata,0.57
838,OCF19,2013,EpiTur,Epithemia turgida,0
839,OCF19,2013,EunBil,Eunotia bilunaris,0
840,OCF19,2013,EunInc,Eunotia incisa,0
841,OCF19,2013,FraBre,Fragilaria brevistriata,0
842,OCF19,2013,FraCap,Fragilaria capucina,0
843,OCF19,2013,FraPin,Fragilaria pinnata,0
844,OCF19,2013,FraTen,Fragilaria tenera,0
845,OCF19,2013,GomAcu,Gomphonema acuminatum,0.28
846,OCF19,2013,GomCap,Gomphonema capitatum,0
847,OCF19,2013,GomGra,Gomphonema gracile,0
848,OCF19,2013,GomPar,Gomphonema parvulum,4.55
849,OCF19,2013,GomTru,Gomphonema truncatum,1.7
850,OCF19,2013,GomSp1,Gomphonema species 1,9.09
851,OCF19,2013,GyrAcu,Gyrosigma acuminatum,0
852,OCF19,2013,NavCrc,Navicula cryptocephala,0
853,OCF19,2013,NavCrn,Navicula cryptotenella,1.99
854,OCF19,2013,NavPup,Navicula pupula,0
855,OCF19,2013,NavPyg,Navicula pygmaea,0
856,OCF19,2013,NavRad,Navicula radiosa,0.57
857,OCF19,2013,NavSub,Navicula subtilissima,1.7
858,OCF19,2013,NavTri,Navicula trivialis,1.99
859,OCF19,2013,NitAmp,Nitzschia amphibia,0
860,OCF19,2013,NitPal,Nitzschia palea,8.24
861,OCF19,2013,NitPer,Nitzschia perminuta,0
862,OCF19,2013,PsaCon,Psammodictyon constrictum,0
863,OCF19,2013,RhoGib,Rhopalodia gibba,2.27
864,OCF19,2013,TabFlo,Tabellaria flocculosa,0
1080,OCF38,2013,AchMin,Achnanthes minutissima,11
1081,OCF38,2013,AchLan,Achnanthes lanceolata,0
1082,OCF38,2013,AchSp1,Achnanthes species 1,0
1083,OCF38,2013,AmpLib,Amphora libyca,2.27
1084,OCF38,2013,AmpPed,Amphora pediculus,0
1085,OCF38,2013,AmpPel,Amphipleura pellucida,2.59
1086,OCF38,2013,BraMic,Brachysira microcephala,0
1087,OCF38,2013,BraPro,Brachysira procera,0
1088,OCF38,2013,CalBac,Caloneis bacillum,2.27
1089,OCF38,2013,CocPla,Cocconeis placentula,0
1090,OCF38,2013,CymCis,Cymbella cistula,0
1091,OCF38,2013,CymGra,Cymbella gracilis,0
1092,OCF38,2013,CymSil,Cymbella silesiaca,0.32
1093,OCF38,2013,CymMic,Cymbella microcephala,0
1094,OCF38,2013,DiaTen,Diatoma tenius,11
1095,OCF38,2013,EpiAdn,Epithemia adnata,0
1096,OCF38,2013,EpiTur,Epithemia turgida,0
1097,OCF38,2013,EunBil,Eunotia bilunaris,0
1098,OCF38,2013,EunInc,Eunotia incisa,0
1099,OCF38,2013,FraBre,Fragilaria brevistriata,1.29
1100,OCF38,2013,FraCap,Fragilaria capucina,7.44
1101,OCF38,2013,FraPin,Fragilaria pinnata,0
1102,OCF38,2013,FraTen,Fragilaria tenera,2.27
1103,OCF38,2013,GomAcu,Gomphonema acuminatum,5.18
1104,OCF38,2013,GomCap,Gomphonema capitatum,10.03
1105,OCF38,2013,GomGra,Gomphonema gracile,0
1106,OCF38,2013,GomPar,Gomphonema parvulum,5.18
1107,OCF38,2013,GomTru,Gomphonema truncatum,1.94
1108,OCF38,2013,GomSp1,Gomphonema species 1,10.36
1109,OCF38,2013,GyrAcu,Gyrosigma acuminatum,0.32
1110,OCF38,2013,NavCrc,Navicula cryptocephala,11.65
1111,OCF38,2013,NavCrn,Navicula cryptotenella,0.32
1112,OCF38,2013,NavPup,Navicula pupula,0
1113,OCF38,2013,NavPyg,Navicula pygmaea,1.94
1114,OCF38,2013,NavRad,Navicula radiosa,0
1115,OCF38,2013,NavSub,Navicula subtilissima,0
1116,OCF38,2013,NavTri,Navicula trivialis,0.65
1117,OCF38,2013,NitAmp,Nitzschia amphibia,0
1118,OCF38,2013,NitPal,Nitzschia palea,11.33
1119,OCF38,2013,NitPer,Nitzschia perminuta,0
1120,OCF38,2013,PsaCon,Psammodictyon constrictum,0.65
1121,OCF38,2013,RhoGib,Rhopalodia gibba,0
1122,OCF38,2013,TabFlo,Tabellaria flocculosa,0
1123,OCF46,2013,AchMin,Achnanthes minutissima,1.23
1124,OCF46,2013,AchLan,Achnanthes lanceolata,0
1125,OCF46,2013,AchSp1,Achnanthes species 1,0
1126,OCF46,2013,AmpLib,Amphora libyca,0
1127,OCF46,2013,AmpPed,Amphora pediculus,0
1128,OCF46,2013,AmpPel,Amphipleura pellucida,0
1129,OCF46,2013,BraMic,Brachysira microcephala,0
1130,OCF46,2013,BraPro,Brachysira procera,0
1131,OCF46,2013,CalBac,Caloneis bacillum,0
1132,OCF46,2013,CocPla,Cocconeis placentula,94.15
1133,OCF46,2013,CymCis,Cymbella cistula,0
1134,OCF46,2013,CymGra,Cymbella gracilis,0
1135,OCF46,2013,CymSil,Cymbella silesiaca,0
1136,OCF46,2013,CymMic,Cymbella microcephala,0.31
1137,OCF46,2013,DiaTen,Diatoma tenius,0
1138,OCF46,2013,EpiAdn,Epithemia adnata,0
1139,OCF46,2013,EpiTur,Epithemia turgida,0
1140,OCF46,2013,EunBil,Eunotia bilunaris,0
1141,OCF46,2013,EunInc,Eunotia incisa,0
1142,OCF46,2013,FraBre,Fragilaria brevistriata,0
1143,OCF46,2013,FraCap,Fragilaria capucina,0
1144,OCF46,2013,FraPin,Fragilaria pinnata,0
1145,OCF46,2013,FraTen,Fragilaria tenera,0
1146,OCF46,2013,GomAcu,Gomphonema acuminatum,0
1147,OCF46,2013,GomCap,Gomphonema capitatum,0
1148,OCF46,2013,GomGra,Gomphonema gracile,0
1149,OCF46,2013,GomPar,Gomphonema parvulum,0
1150,OCF46,2013,GomTru,Gomphonema truncatum,0
1151,OCF46,2013,GomSp1,Gomphonema species 1,0
1152,OCF46,2013,GyrAcu,Gyrosigma acuminatum,0
1153,OCF46,2013,NavCrc,Navicula cryptocephala,0
1154,OCF46,2013,NavCrn,Navicula cryptotenella,0
1155,OCF46,2013,NavPup,Navicula pupula,0
1156,OCF46,2013,NavPyg,Navicula pygmaea,0
1157,OCF46,2013,NavRad,Navicula radiosa,0
1158,OCF46,2013,NavSub,Navicula subtilissima,0
1159,OCF46,2013,NavTri,Navicula trivialis,0
1160,OCF46,2013,NitAmp,Nitzschia amphibia,0
1161,OCF46,2013,NitPal,Nitzschia palea,4.31
1162,OCF46,2013,NitPer,Nitzschia perminuta,0
1163,OCF46,2013,PsaCon,Psammodictyon constrictum,0
1164,OCF46,2013,RhoGib,Rhopalodia gibba,0
1165,OCF46,2013,TabFlo,Tabellaria flocculosa,0
1166,OCF48,2013,AchMin,Achnanthes minutissima,57.49
1167,OCF48,2013,AchLan,Achnanthes lanceolata,0
1168,OCF48,2013,AchSp1,Achnanthes species 1,0
1169,OCF48,2013,AmpLib,Amphora libyca,0.31
1170,OCF48,2013,AmpPed,Amphora pediculus,0
1171,OCF48,2013,AmpPel,Amphipleura pellucida,0
1172,OCF48,2013,BraMic,Brachysira microcephala,0
1173,OCF48,2013,BraPro,Brachysira procera,0
1174,OCF48,2013,CalBac,Caloneis bacillum,0
1175,OCF48,2013,CocPla,Cocconeis placentula,5.81
1176,OCF48,2013,CymCis,Cymbella cistula,0.92
1177,OCF48,2013,CymGra,Cymbella gracilis,0
1178,OCF48,2013,CymSil,Cymbella silesiaca,1.22
1179,OCF48,2013,CymMic,Cymbella microcephala,12.84
1180,OCF48,2013,DiaTen,Diatoma tenius,0
1181,OCF48,2013,EpiAdn,Epithemia adnata,0
1182,OCF48,2013,EpiTur,Epithemia turgida,0
1183,OCF48,2013,EunBil,Eunotia bilunaris,0
1184,OCF48,2013,EunInc,Eunotia incisa,0
1185,OCF48,2013,FraBre,Fragilaria brevistriata,0
1186,OCF48,2013,FraCap,Fragilaria capucina,2.45
1187,OCF48,2013,FraPin,Fragilaria pinnata,1.53
1188,OCF48,2013,FraTen,Fragilaria tenera,1.53
1189,OCF48,2013,GomAcu,Gomphonema acuminatum,0
1190,OCF48,2013,GomCap,Gomphonema capitatum,0
1191,OCF48,2013,GomGra,Gomphonema gracile,0
1192,OCF48,2013,GomPar,Gomphonema parvulum,2.14
1193,OCF48,2013,GomTru,Gomphonema truncatum,0
1194,OCF48,2013,GomSp1,Gomphonema species 1,6.12
1195,OCF48,2013,GyrAcu,Gyrosigma acuminatum,0
1196,OCF48,2013,NavCrc,Navicula cryptocephala,0.61
1197,OCF48,2013,NavCrn,Navicula cryptotenella,4.59
1198,OCF48,2013,NavPup,Navicula pupula,0
1199,OCF48,2013,NavPyg,Navicula pygmaea,0
1200,OCF48,2013,NavRad,Navicula radiosa,0.61
1201,OCF48,2013,NavSub,Navicula subtilissima,0
1202,OCF48,2013,NavTri,Navicula trivialis,0.61
1203,OCF48,2013,NitAmp,Nitzschia amphibia,1.22
1204,OCF48,2013,NitPal,Nitzschia palea,0
1205,OCF48,2013,NitPer,Nitzschia perminuta,0
1206,OCF48,2013,PsaCon,Psammodictyon constrictum,0
1207,OCF48,2013,RhoGib,Rhopalodia gibba,0
1208,OCF48,2013,TabFlo,Tabellaria flocculosa,0
1209,OCF49,2013,AchMin,Achnanthes minutissima,80.18
1210,OCF49,2013,AchLan,Achnanthes lanceolata,0
1211,OCF49,2013,AchSp1,Achnanthes species 1,0
1212,OCF49,2013,AmpLib,Amphora libyca,0
1213,OCF49,2013,AmpPed,Amphora pediculus,0
1214,OCF49,2013,AmpPel,Amphipleura pellucida,0
1215,OCF49,2013,BraMic,Brachysira microcephala,0
1216,OCF49,2013,BraPro,Brachysira procera,0
1217,OCF49,2013,CalBac,Caloneis bacillum,0
1218,OCF49,2013,CocPla,Cocconeis placentula,0
1219,OCF49,2013,CymCis,Cymbella cistula,0
1220,OCF49,2013,CymGra,Cymbella gracilis,0
1221,OCF49,2013,CymSil,Cymbella silesiaca,0
1222,OCF49,2013,CymMic,Cymbella microcephala,1.83
1223,OCF49,2013,DiaTen,Diatoma tenius,0
1224,OCF49,2013,EpiAdn,Epithemia adnata,0
1225,OCF49,2013,EpiTur,Epithemia turgida,0
1226,OCF49,2013,EunBil,Eunotia bilunaris,0
1227,OCF49,2013,EunInc,Eunotia incisa,0
1228,OCF49,2013,FraBre,Fragilaria brevistriata,0
1229,OCF49,2013,FraCap,Fragilaria capucina,0.61
1230,OCF49,2013,FraPin,Fragilaria pinnata,0
1231,OCF49,2013,FraTen,Fragilaria tenera,0.91
1232,OCF49,2013,GomAcu,Gomphonema acuminatum,0
1233,OCF49,2013,GomCap,Gomphonema capitatum,0
1234,OCF49,2013,GomGra,Gomphonema gracile,0
1235,OCF49,2013,GomPar,Gomphonema parvulum,3.05
1236,OCF49,2013,GomTru,Gomphonema truncatum,0
1237,OCF49,2013,GomSp1,Gomphonema species 1,13.11
1238,OCF49,2013,GyrAcu,Gyrosigma acuminatum,0
1239,OCF49,2013,NavCrc,Navicula cryptocephala,0
1240,OCF49,2013,NavCrn,Navicula cryptotenella,0
1241,OCF49,2013,NavPup,Navicula pupula,0
1242,OCF49,2013,NavPyg,Navicula pygmaea,0
1243,OCF49,2013,NavRad,Navicula radiosa,0
1244,OCF49,2013,NavSub,Navicula subtilissima,0
1245,OCF49,2013,NavTri,Navicula trivialis,0
1246,OCF49,2013,NitAmp,Nitzschia amphibia,0.3
1247,OCF49,2013,NitPal,Nitzschia palea,0
1248,OCF49,2013,NitPer,Nitzschia perminuta,0
1249,OCF49,2013,PsaCon,Psammodictyon constrictum,0
1250,OCF49,2013,RhoGib,Rhopalodia gibba,0
1251,OCF49,2013,TabFlo,Tabellaria flocculosa,0
1338,OCF19R,2013,AchMin,Achnanthes minutissima,69.28
1339,OCF19R,2013,AchLan,Achnanthes lanceolata,0
1340,OCF19R,2013,AchSp1,Achnanthes species 1,0
1341,OCF19R,2013,AmpLib,Amphora libyca,0
1342,OCF19R,2013,AmpPed,Amphora pediculus,0
1343,OCF19R,2013,AmpPel,Amphipleura pellucida,0
1344,OCF19R,2013,BraMic,Brachysira microcephala,0
1345,OCF19R,2013,BraPro,Brachysira procera,0
1346,OCF19R,2013,CalBac,Caloneis bacillum,0
1347,OCF19R,2013,CocPla,Cocconeis placentula,0.31
1348,OCF19R,2013,CymCis,Cymbella cistula,0
1349,OCF19R,2013,CymGra,Cymbella gracilis,0
1350,OCF19R,2013,CymSil,Cymbella silesiaca,0
1351,OCF19R,2013,CymMic,Cymbella microcephala,0
1352,OCF19R,2013,DiaTen,Diatoma tenius,0
1353,OCF19R,2013,EpiAdn,Epithemia adnata,0.63
1354,OCF19R,2013,EpiTur,Epithemia turgida,0
1355,OCF19R,2013,EunBil,Eunotia bilunaris,0
1356,OCF19R,2013,EunInc,Eunotia incisa,0
1357,OCF19R,2013,FraBre,Fragilaria brevistriata,0
1358,OCF19R,2013,FraCap,Fragilaria capucina,0
1359,OCF19R,2013,FraPin,Fragilaria pinnata,0
1360,OCF19R,2013,FraTen,Fragilaria tenera,2.82
1361,OCF19R,2013,GomAcu,Gomphonema acuminatum,0.31
1362,OCF19R,2013,GomCap,Gomphonema capitatum,0
1363,OCF19R,2013,GomGra,Gomphonema gracile,0
